prescriber_id,npi,first_name,last_name,specialty,state
PRESC00093,1306798268,Richard,Morgan,Endocrinology,NY
PRESC00094,1360613550,Michelle,Wright,Pain Management,VT
PRESC00095,1086519602,James,West,Cardiology,CT
PRESC00096,1248315126,Robert,Ramirez,Pediatrics,FL
PRESC00097,1164073400,John,Leblanc,Endocrinology,NH
PRESC00098,1445461013,Scott,Callahan,Pediatrics,NJ
PRESC00099,1582624278,Andrea,Williams,Orthopedics,PA
PRESC00100,1066857303,Yvette,Huff,Endocrinology,PA
PRESC00101,1418197538,Tanya,House,Nurse Practitioner,FL
PRESC00102,1020972273,Melinda,Martin,Nurse Practitioner,PA
PRESC00103,1512153089,Todd,Lewis,Internal Medicine,NJ
PRESC00104,1320632895,Richard,Brown,Pediatrics,PA
PRESC00105,1577909930,Nicholas,Galloway,Oncology,CA
PRESC00106,1964017593,Joseph,Bowers,Endocrinology,ME
PRESC00107,1235602191,Spencer,Henderson,Psychiatry,PA
PRESC00108,1521454127,Susan,Cowan,Internal Medicine,PA
PRESC00109,1360916347,Angela,Higgins,Pediatrics,FL
PRESC00110,1177215428,Eric,Phillips,Orthopedics,CT
PRESC00111,1668143326,Tanya,Riley,Oncology,MA
PRESC00112,1973807454,Amy,Adkins,Pediatrics,CA
PRESC00113,1606011277,Brian,Silva,Internal Medicine,NH
PRESC00114,1690147183,Wesley,Farrell,Pediatrics,CT
PRESC00115,1930774552,Eric,Yu,Orthopedics,CT
PRESC00116,1053992714,Christopher,Lopez,Psychiatry,PA
PRESC00117,1351492250,Brooke,Leonard,Endocrinology,ME
PRESC00118,1350948014,Joe,Wilson,Pain Management,PA
PRESC00119,1298775766,Pamela,Sanchez,Pediatrics,NY
PRESC00120,1896478772,Brooke,Harvey,Family Medicine,ME
PRESC00121,1020812641,Robert,Silva,Oncology,MA
PRESC00122,1375767056,Alexandra,Donovan,Endocrinology,TX
PRESC00123,1073678414,James,Moran,Internal Medicine,MA
PRESC00124,1265518424,John,Foster,Endocrinology,MA
PRESC00125,1667154083,Emily,Evans,Cardiology,RI
PRESC00126,1135528741,Leslie,Walton,Orthopedics,TX
PRESC00127,1122824732,Charles,Ellis,Nurse Practitioner,RI
PRESC00128,1499326438,Yolanda,Ferrell,Psychiatry,NJ
PRESC00129,1180162221,Charles,Lewis,Nurse Practitioner,CA
PRESC00130,1803079055,Joseph,Mahoney,Family Medicine,CT
PRESC00131,1333975497,Nicole,Suarez,Family Medicine,CA
PRESC00132,1027571992,Mike,Moore,Psychiatry,CA
PRESC00133,1727296111,Martha,Warner,Pediatrics,PA
PRESC00134,1767741192,Cheryl,Archer,Endocrinology,NH
PRESC00135,1635760237,Destiny,Smith,Endocrinology,NH
PRESC00136,1748605284,Lisa,Evans,Psychiatry,TX
PRESC00137,1644687060,Elizabeth,Mcmillan,Family Medicine,CA
PRESC00138,1840348305,Dennis,Wilson,Internal Medicine,NJ
PRESC00139,1572030854,Daniel,Tran,Pediatrics,TX
PRESC00140,1397897455,Joseph,Jacobs,Family Medicine,VT
PRESC00141,1695294275,Jennifer,Harris,Pain Management,MA
PRESC00142,1912224883,Cynthia,Baker,Pediatrics,ME
PRESC00143,1113321496,Tracy,Whitehead,Pediatrics,NJ
PRESC00144,1682454310,Meghan,Davis,Orthopedics,FL
PRESC00145,1164272995,Rodney,Hill,Pediatrics,CT
PRESC00146,1787906704,Adam,Wise,Oncology,TX
PRESC00147,1289998761,Dana,Green,Nurse Practitioner,VT
PRESC00148,1831764920,Joyce,Arnold,Orthopedics,ME
PRESC00149,1467694547,Ronald,Smith,Nurse Practitioner,NY
PRESC00150,1346071904,Charles,Ware,Endocrinology,NH
